,Logistic Regression,Random Forest,XGBoost,mean_importance
dll_path_anomaly,1.2579523626156843,0.09894875107977225,0.18242955,0.5131102219245679
instance_count,0.14655050759967767,0.43339282528695333,0.24271013,0.27421782043772763
thread_count,0.3693612907793408,0.12451663601149184,0.04113617,0.17833803281986685
dll_count,0.2528542647049985,0.08362330996940541,0.062419772,0.13296578227417874
handle_count,0.15186093004658438,0.05917271783509195,0.046153974,0.08572920722323311
dll_name_entropy_avg,0.17764175512786784,0.048779242912683554,0.02985401,0.08542500294371262
unique_remote_ips,0.15370941585300724,0.03627884748833162,0.033421896,0.07447005324646878
beacon_pattern,0.19410902140843644,0.0016918198520282893,0.0,0.06526694708682158
proc_peb_mismatch,0.1878010163412553,0.0006904237605676668,0.0,0.06283048003394098
name_entropy,0.07007466570442511,0.02230424675425026,0.054331608,0.04890350685843403
min_lev_distance,0.06741772392484748,0.034789981069594605,0.042776313,0.048328005891164816
external_conn_count,0.06451699388922706,0.012120550401575564,0.06662992,0.04775582024010742
handle_high_privilege_target_count,0.12529729754781613,0.00267981970148571,0.0133680375,0.04711505159286385
child_count,0.07952841808172169,0.02838918645742445,0.028099423,0.045339009271181334
parent_also_suspicious,0.08196863315442154,0.002520306477257157,0.0087686535,0.031085864376259525
rare_listen_port,0.07885992350213698,0.0012881853653457617,0.0,0.026716036289160916
masquerade_score,0.031145411178200147,0.0006966499080063342,0.04737281,0.026404957209596652
is_elevated,0.02187121710321959,0.0015013312952765288,0.055221338,0.02619796207451867
masq_csrss,0.06660263170486123,0.00017981927117757216,0.0,0.022260816992012936
dll_outside_sys32,0.003978419755577081,0.0057992819737992295,0.04530637,0.01836135713055372
hollow_process_indicator,0.004697971199632975,0.0006360671284808649,0.0,0.0017780127760379464
